category,band,artist,title,lyricist,composer,arranger
original,poppinparty,Poppin'Party,Yes! BanG_Dream!,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,ぽっぴん’しゃっふる,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,STAR BEAT!〜ホシノコドウ〜,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,夏空 SUN! SUN! SEVEN!,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,走り始めたばかりのキミに,中村航,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,ティアドロップス,中村航,上松範康（Elements Garden）,末益涼太（Elements Garden）
original,poppinparty,Poppin'Party,ときめきエクスペリエンス！,中村航,上松範康（Elements Garden）,藤間仁（Elements Garden）
original,poppinparty,Poppin'Party,1000回潤んだ空,上松範康（Elements Garden）,上松範康（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,キラキラだとか夢だとか ～Sing Girls～,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,前へススメ！,中村航,上松範康（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,夢みるSunflower,中村航,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,キミにもらったもの,中村航,母里治樹（Elements Garden）,母里治樹（Elements Garden）
original,poppinparty,Poppin'Party,八月のif,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,Time Lapse,中村航,上松範康（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,クリスマスのうた,中村航,菊田大介（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,Poppin'Party,B.O.F,中村航,DAIGO,宅見将典
original,poppinparty,Poppin'Party,CiRCLING,中村航,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,Poppin'Party,Light Delight,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,私の心はチョココロネ,織田あすか（Elements Garden）,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,二重の虹（ダブル レインボウ）,中村航,菊田大介（Elements Garden）,菊田大介（Elements Garden）
original,poppinparty,Poppin'Party,最高（さあ行こう）！,中村航,藤田淳平（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,ガールズコード,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,Home Street,中村航,都丸椋太（Elements Garden）,都丸椋太（Elements Garden）
original,poppinparty,Poppin'Party,キズナミュージック♪,中村 航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,Jumpin',中村 航,上松範康（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,戸山香澄,どきどきSING OUT!,中村航,藤間仁（Elements Garden）,藤間仁（Elements Garden）
original,poppinparty,花園たえ,花園電気ギター！！！,中村航,母里治樹（Elements Garden）,母里治樹（Elements Garden）
original,poppinparty,牛込りみ,チョコレイトの低音レシピ,中村航,末益涼太（Elements Garden）,末益涼太（Elements Garden）
original,poppinparty,山吹沙綾,遠い音楽～ハートビート～,中村航,菊田大介（Elements Garden）,菊田大介（Elements Garden）
original,poppinparty,市ヶ谷有咲,す、好きなんかじゃない！,中村航,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,Poppin'Party,Happy Happy Party！,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,夏のドーン！,中村航,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
original,poppinparty,Poppin'Party,SAKURA MEMORIES,中村航,藤間仁（Elements Garden）,藤間仁（Elements Garden）
original,poppinparty,Poppin'Party,Returns,中村航,上松範康（Elements Garden）,藤田淳平（Elements Garden）
original,poppinparty,Poppin'Party,Dreamers Go!,中村航,菊田大介（Elements Garden）,菊田大介（Elements Garden）
original,poppinparty,Poppin'Party,NO GIRL NO CRY,中村航,藤永龍太郎（Elements Garden）,藤永龍太郎（Elements Garden）
original,poppinparty,Poppin'Party,アニバーサリー,中村航,岩橋星実（Elements Garden）,岩橋星実（Elements Garden）
